id,departamento_id,codigo,nombre
557,11,740,Sibate
558,11,743,Silvania
559,11,745,Simijaca
560,11,754,Soacha
561,11,758,Sopo
562,11,769,Subachoque
563,11,772,Suesca
564,11,777,Supata
565,11,779,Susa
566,11,781,Sutatausa
567,11,785,Tabio
568,11,793,Tausa
569,11,797,Tena
570,11,799,Tenjo
571,11,805,Tibacuy
572,11,807,Tibirita
573,11,815,Tocaima
574,11,817,Tocancipa
575,11,823,Topaipi
576,11,839,Ubala
577,11,841,Ubaque
578,11,843,Ubate
580,11,851,Utica
581,11,862,Vergara
529,11,436,Manta
579,11,845,Une
582,11,867,Viani
583,11,871,Villagomez
584,11,873,Villapinzon
585,11,875,Villeta
586,11,878,Viota
587,11,885,Yacopi
588,11,898,Zipacon
589,11,899,Zipaquira
591,12,6,Acandi
592,12,25,Alto Baudo (Pie De Pato)
593,12,50,Atrato
594,12,73,Bagado
595,12,75,Bahia Solano (Mutis)
596,12,77,Bajo Baudo (Pizarro)
597,12,99,Bojaya (Bellavista)
598,12,135,Canton De San Pablo (Managru)
599,12,205,Condoto
600,12,245,El Carmen De Atrato
602,12,361,Istmina
603,12,372,Jurado
604,12,413,Lloro
605,12,425,Medio Atrato
606,12,430,Medio Baudo
607,12,491,Novita
608,12,495,Nuqui
609,12,600,Rioquito
610,12,615,Riosucio
611,12,660,San Jose Del Palmar
612,12,745,Sipi
613,12,787,Tado
614,12,800,Unguia
615,12,810,Union Panamericana
616,13,1,Neiva
617,13,6,Acevedo
618,13,13,Agrado
619,13,16,Aipe
620,13,20,Algeciras
621,13,26,Altamira
622,13,78,Baraya
623,13,132,Campoalegre
624,13,206,Colombia
625,13,244,Elias
626,13,298,Garzon
627,13,306,Gigante
628,13,319,Guadalupe
629,13,349,Hobo
630,13,357,Iquira
631,13,359,Isnos (San Jose De Isnos)
632,13,378,La Argentina
633,13,396,La Plata
634,13,483,Nataga
635,13,503,Oporapa
636,13,518,Paicol
637,13,524,Palermo
638,13,530,Palestina
639,13,548,Pital
640,13,551,Pitalito
641,13,615,Rivera
642,13,660,Saladoblanco
643,13,668,San Agustin
644,13,676,Santa Maria
645,13,770,Suaza
646,13,791,Tarqui
647,13,797,Tesalia
648,13,799,Tello
649,13,801,Teruel
650,13,807,Timana
651,13,872,Villavieja
652,13,885,Yaguara
653,14,1,Riohacha
654,14,78,Barrancas
655,14,90,Dibulla
656,14,98,Distraccion
657,14,110,El Molino
658,14,279,Fonseca
659,14,378,Hatonuevo
601,12,250,Litoral Del Bajo San Juan
662,14,560,Manaure
663,14,650,San Juan Del Cesar
664,14,847,Uribia
665,14,855,Urumita
666,14,874,Villanueva
668,15,30,Algarrobo
669,15,53,Aracataca
670,15,58,Ariguani (El Dificil)
671,15,161,Cerro San Antonio
672,15,170,Chivolo
673,15,189,Cienaga
674,15,205,Concordia
675,15,245,El Banco
676,15,258,El Piñon
677,15,268,El Reten
678,15,288,Fundacion
679,15,318,Guamal
680,15,541,Pedraza
681,15,545,Pijiño Del Carmen (Pijiño)
682,15,551,Pivijay
683,15,555,Plato
684,15,570,Puebloviejo
685,15,605,Remolino
686,15,660,Sabanas De San Angel
687,15,675,Salamina
688,15,692,San Sebastian De Buenavista
689,15,703,San Zenon
690,15,707,Santa Ana
691,15,745,Sitionuevo
692,15,798,Tenerife
693,16,1,Villavicencio
694,16,6,Acacias
695,16,110,Barranca De Upia
696,16,124,Cabuyaro
697,16,150,Castilla La Nueva
698,16,223,San Luis De Cubarral
699,16,226,Cumaral
700,16,245,El Calvario
701,16,251,El Castillo
702,16,270,El Dorado
703,16,287,Fuente De Oro
704,16,313,Granada
705,16,318,Guamal
706,16,325,Mapiripan
707,16,330,Mesetas
708,16,350,La Macarena
709,16,370,La Uribe
710,16,400,Lejanias
711,16,450,Puerto Concordia
660,14,420,La Jagua Del Pilar
661,14,430,Maicao
712,16,568,Puerto Gaitan
713,16,573,Puerto Lopez
714,16,577,Puerto Lleras
715,16,590,Puerto Rico
716,16,606,Restrepo
717,16,680,San Carlos De Guaroa
718,16,683,San Juan De Arama
719,16,686,San Juanito
720,16,689,San Martin
721,16,711,Vistahermosa
722,17,1,Pasto (San Juan De Pasto)
723,17,19,Alban (San Jose)
724,17,22,Aldana
725,17,36,Ancuya
726,17,51,Arboleda (Berruecos)
727,17,79,Barbacoas
728,17,83,Belen
729,17,110,Buesaco
730,17,203,Colon (Genova)
731,17,207,Consaca
732,17,210,Contadero
733,17,215,Cordoba
734,17,224,Cuaspud (Carlosama)
735,17,227,Cumbal
736,17,233,Cumbitara
737,17,240,Chachagui
738,17,250,El Charco
739,17,254,El Peñol
740,17,256,El Rosario
741,17,258,El Tablon
742,17,260,El Tambo
743,17,287,Funes
744,17,317,Guachucal
745,17,320,Guaitarilla
746,17,323,Gualmatan
747,17,352,Iles
748,17,354,Imues
749,17,356,Ipiales
750,17,378,La Cruz
751,17,381,La Florida
752,17,385,La Llanada
753,17,390,La Tola
754,17,399,La Union
755,17,405,Leiva
756,17,411,Linares
757,17,418,Los Andes (Sotomayor)
758,17,427,Magui (Payan)
759,17,435,Mallama (Piedrancha)
760,17,473,Mosquera
762,17,506,Ospina
764,17,540,Policarpa
765,17,560,Potosi
766,17,565,Providencia
767,17,573,Puerres
768,17,585,Pupiales
769,17,612,Ricaurte
770,17,621,Roberto Payan (San Jose)
771,17,678,Samaniego
772,17,683,Sandona
773,17,685,San Bernardo
774,17,687,San Lorenzo
775,17,693,San Pablo
776,17,694,San Pedro De Cartago
777,17,696,Santa Barbara (Iscuande)
778,17,699,Santa Cruz (Guachaves)
779,17,720,Sapuyes
780,17,786,Taminango
781,17,788,Tangua
782,17,835,Tumaco
783,17,838,Tuquerres
784,17,885,Yacuanquer
785,18,1,Cucuta
786,18,3,Abrego
787,18,51,Arboledas
761,17,490,Olaya Herrera
763,17,520,Francisco Pizarro
788,18,99,Bochalema
789,18,109,Bucarasica
790,18,125,Cacota
791,18,128,Cachira
792,18,172,Chinacota
793,18,174,Chitaga
794,18,206,Convencion
795,18,223,Cucutilla
796,18,239,Durania
797,18,245,El Carmen
798,18,250,El Tarra
799,18,261,El Zulia
800,18,313,Gramalote
801,18,344,Hacari
802,18,347,Herran
803,18,377,Labateca
804,18,385,La Esperanza
805,18,398,La Playa
806,18,405,Los Patios
